ticker,start_date,end_date,type
A,2000-06-05 00:00:00,2023-12-31 00:00:00,S
AABA,2000-01-03 00:00:00,2017-06-16 00:00:00,S
AAL,2015-03-23 00:00:00,2023-12-31 00:00:00,S
AAMRQ,2000-01-03 00:00:00,2003-03-10 00:00:00,S
AAP,2015-07-09 00:00:00,2023-06-20 00:00:00,S
AAPL,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ABBV,2013-01-02 00:00:00,2023-12-31 00:00:00,S
ABC,2001-08-30 00:00:00,2023-08-25 00:00:00,S
ABI,2000-01-03 00:00:00,2008-11-20 00:00:00,S
ABKFQ,2000-12-11 00:00:00,2008-06-10 00:00:00,S
ABMD,2018-05-31 00:00:00,2022-12-19 00:00:00,S
ABNB,2023-09-18 00:00:00,2023-12-31 00:00:00,S
ABS,2000-01-03 00:00:00,2006-05-31 00:00:00,S
ABT,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ABX,2000-01-03 00:00:00,2002-07-18 00:00:00,S
ACAS,2007-07-09 00:00:00,2009-03-02 00:00:00,S
ACGL,2022-11-01 00:00:00,2023-12-31 00:00:00,S
ACKH,2000-01-03 00:00:00,2000-11-08 00:00:00,S
ACN,2011-07-06 00:00:00,2023-12-31 00:00:00,S
ACS,2004-04-02 00:00:00,2010-02-02 00:00:00,S
ACV,2000-01-03 00:00:00,2006-11-16 00:00:00,S
ADBE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADCT,2000-01-03 00:00:00,2007-06-26 00:00:00,S
ADI,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADM,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADP,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADS,2013-12-23 00:00:00,2020-05-22 00:00:00,S
ADSK,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ADT,2012-10-02 00:00:00,2016-04-28 00:00:00,S
AEE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AEP,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AES,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AET,2000-01-03 00:00:00,2018-11-28 00:00:00,S
AFL,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AFS.A,2000-01-03 00:00:00,2000-11-29 00:00:00,S
AGC,2000-01-03 00:00:00,2001-08-20 00:00:00,S
AGN,2000-01-03 00:00:00,2020-04-06 00:00:00,S
AIG,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AIV,2003-03-14 00:00:00,2020-11-17 00:00:00,S
AIZ,2007-04-10 00:00:00,2023-12-31 00:00:00,S
AJG,2016-05-31 00:00:00,2023-12-31 00:00:00,S
AKAM,2007-07-12 00:00:00,2023-12-31 00:00:00,S
AKS,2008-07-01 00:00:00,2011-12-14 00:00:00,S
AL,2000-01-03 00:00:00,2002-07-18 00:00:00,S
ALB,2016-07-01 00:00:00,2023-12-31 00:00:00,S
ALGN,2017-06-19 00:00:00,2023-12-31 00:00:00,S
ALK,2016-05-13 00:00:00,2023-10-02 00:00:00,S
ALL,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ALLE,2013-12-02 00:00:00,2023-12-31 00:00:00,S
ALTR,2000-04-18 00:00:00,2015-12-21 00:00:00,S
ALXN,2012-05-25 00:00:00,2021-06-04 00:00:00,S
AM,2000-01-03 00:00:00,2004-04-30 00:00:00,S
AMAT,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AMCC,2001-01-02 00:00:00,2006-05-10 00:00:00,S
AMCR,2019-06-07 00:00:00,2023-12-31 00:00:00,S
AMD,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AME,2013-09-23 00:00:00,2023-12-31 00:00:00,S
AMG,2014-07-01 00:00:00,2019-12-10 00:00:00,S
AMGN,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AMP,2005-10-03 00:00:00,2023-12-31 00:00:00,S
AMT,2007-11-19 00:00:00,2023-12-31 00:00:00,S
AMZN,2005-11-21 00:00:00,2023-12-31 00:00:00,S
AN,2003-02-24 00:00:00,2017-08-07 00:00:00,S
ANDV,2007-09-27 00:00:00,2018-09-24 00:00:00,S
ANDW,2000-01-03 00:00:00,2006-09-28 00:00:00,S
ANET,2018-08-28 00:00:00,2023-12-31 00:00:00,S
ANF,2007-03-29 00:00:00,2013-12-18 00:00:00,S
ANRZQ,2011-06-02 00:00:00,2012-10-01 00:00:00,S
ANSS,2017-06-19 00:00:00,2023-12-31 00:00:00,S
ANTM,2002-07-25 00:00:00,2022-06-21 00:00:00,S
AON,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AOS,2017-07-26 00:00:00,2023-12-31 00:00:00,S
APA,2000-01-03 00:00:00,2023-12-31 00:00:00,S
APC,2000-01-03 00:00:00,2019-08-08 00:00:00,S
APCC,2000-06-01 00:00:00,2007-02-14 00:00:00,S
APD,2000-01-03 00:00:00,2023-12-31 00:00:00,S
APH,2008-09-30 00:00:00,2023-12-31 00:00:00,S
APOL,2002-05-15 00:00:00,2013-06-27 00:00:00,S
APTV,2012-12-24 00:00:00,2023-12-31 00:00:00,S
ARC,2000-01-03 00:00:00,2000-04-10 00:00:00,S
ARE,2017-03-20 00:00:00,2023-12-31 00:00:00,S
ARG,2009-09-09 00:00:00,2016-05-20 00:00:00,S
ARNC,2000-01-03 00:00:00,2020-04-03 00:00:00,S
ASH,2000-01-03 00:00:00,2008-11-13 00:00:00,S
ASN,2004-12-20 00:00:00,2007-10-04 00:00:00,S
ASO,2000-01-03 00:00:00,2006-10-31 00:00:00,S
AT,2000-01-03 00:00:00,2007-11-16 00:00:00,S
ATGE,2009-06-09 00:00:00,2012-09-25 00:00:00,S
ATI,2000-01-03 00:00:00,2015-07-01 00:00:00,S
ATO,2019-02-15 00:00:00,2023-12-31 00:00:00,S
ATVI,2015-08-31 00:00:00,2023-10-02 00:00:00,S
AV,2000-10-02 00:00:00,2007-10-25 00:00:00,S
AVB,2007-01-10 00:00:00,2023-12-31 00:00:00,S
AVGO,2014-05-08 00:00:00,2023-12-31 00:00:00,S
AVP,2000-01-03 00:00:00,2015-03-19 00:00:00,S
AVY,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AW,2000-01-03 00:00:00,2008-12-04 00:00:00,S
AWE,2001-07-09 00:00:00,2004-10-26 00:00:00,S
AWK,2016-03-04 00:00:00,2023-12-31 00:00:00,S
AXON,2023-05-04 00:00:00,2023-12-31 00:00:00,S
AXP,2000-01-03 00:00:00,2023-12-31 00:00:00,S
AYE,2000-12-11 00:00:00,2011-02-23 00:00:00,S
AYI,2016-05-03 00:00:00,2018-06-15 00:00:00,S
AZA.A,2000-01-03 00:00:00,2001-06-20 00:00:00,S
AZO,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BA,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BAC,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BALL,2022-05-10 00:00:00,2023-12-31 00:00:00,S
BAX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BBBY,2000-01-03 00:00:00,2017-07-25 00:00:00,S
BBT,2000-01-03 00:00:00,2019-12-05 00:00:00,S
BBWI,2021-08-03 00:00:00,2023-12-31 00:00:00,S
BBY,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BC,2000-01-03 00:00:00,2008-06-18 00:00:00,S
BCR,2000-01-03 00:00:00,2017-12-27 00:00:00,S
BDK,2000-01-03 00:00:00,2010-03-11 00:00:00,S
BDX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BEAM,2000-01-03 00:00:00,2014-04-22 00:00:00,S
BEN,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BF.B,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BFO,2000-01-03 00:00:00,2000-10-02 00:00:00,S
BG,2023-03-15 00:00:00,2023-12-31 00:00:00,S
BGEN,2000-01-31 00:00:00,2003-11-12 00:00:00,S
BGG,2000-01-03 00:00:00,2001-04-02 00:00:00,S
BHF,2017-08-07 00:00:00,2019-02-27 00:00:00,S
BHGE,2000-01-03 00:00:00,2019-10-03 00:00:00,S
BHMSQ,2000-01-03 00:00:00,2000-12-08 00:00:00,S
BIG,2000-01-03 00:00:00,2013-02-06 00:00:00,S
BIIB,2003-11-13 00:00:00,2023-12-31 00:00:00,S
BIO,2020-06-22 00:00:00,2023-12-31 00:00:00,S
BJS,2002-05-15 00:00:00,2010-04-21 00:00:00,S
BK,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BKNG,2009-11-06 00:00:00,2023-12-31 00:00:00,S
BKR,2019-10-18 00:00:00,2023-12-31 00:00:00,S
BLDR,2023-10-18 00:00:00,2023-12-31 00:00:00,S
BLK,2011-04-04 00:00:00,2023-12-31 00:00:00,S
BLL,2000-01-03 00:00:00,2022-04-11 00:00:00,S
BLS,2000-01-03 00:00:00,2006-12-29 00:00:00,S
BMC,2000-01-03 00:00:00,2013-09-09 00:00:00,S
BMET,2000-01-03 00:00:00,2007-07-10 00:00:00,S
BMS,2000-01-03 00:00:00,2014-12-04 00:00:00,S
BMY,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BNI,2000-01-03 00:00:00,2010-02-10 00:00:00,S
BOL,2000-01-03 00:00:00,2007-10-26 00:00:00,S
BR,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BRCM,2000-07-03 00:00:00,2016-01-26 00:00:00,S
BRK.B,2010-02-16 00:00:00,2023-12-31 00:00:00,S
BRL,2006-02-27 00:00:00,2008-12-22 00:00:00,S
BRO,2021-09-20 00:00:00,2023-12-31 00:00:00,S
BSC,2000-01-03 00:00:00,2008-05-29 00:00:00,S
BSX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
BTUUQ,2006-11-20 00:00:00,2014-09-19 00:00:00,S
BUD,2000-01-03 00:00:00,2008-11-17 00:00:00,S
BVSN,2000-11-06 00:00:00,2001-08-31 00:00:00,S
BWA,2011-12-19 00:00:00,2023-12-31 00:00:00,S
BX,2023-09-18 00:00:00,2023-12-31 00:00:00,S
BXLT,2015-07-01 00:00:00,2016-06-01 00:00:00,S
BXP,2006-04-03 00:00:00,2023-12-31 00:00:00,S
C,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CA,2000-01-03 00:00:00,2018-10-31 00:00:00,S
CAG,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CAH,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CAM,2008-01-29 00:00:00,2016-03-31 00:00:00,S
CAR,2000-01-03 00:00:00,2006-07-31 00:00:00,S
CARR,2020-04-03 00:00:00,2023-12-31 00:00:00,S
CAT,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CB,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CBE,2000-01-03 00:00:00,2012-11-27 00:00:00,S
CBH,2006-06-06 00:00:00,2008-03-18 00:00:00,S
CBOE,2017-03-01 00:00:00,2023-12-31 00:00:00,S
CBRE,2006-11-10 00:00:00,2023-12-31 00:00:00,S
CBS,2000-01-03 00:00:00,2019-11-21 00:00:00,S
CBSS,2004-12-20 00:00:00,2007-09-04 00:00:00,S
CCE,2000-01-03 00:00:00,2016-05-24 00:00:00,S
CCEP,2016-01-04 00:00:00,2016-05-24 00:00:00,S
CCI,2012-03-13 00:00:00,2023-12-31 00:00:00,S
CCK,2000-01-03 00:00:00,2000-12-08 00:00:00,S
CCL,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CCTYQ,2000-01-03 00:00:00,2008-03-18 00:00:00,S
CCU,2000-01-03 00:00:00,2008-07-29 00:00:00,S
CDAY,2021-09-20 00:00:00,2023-12-31 00:00:00,S
CDNS,2017-09-18 00:00:00,2023-12-31 00:00:00,S
CDW,2019-09-23 00:00:00,2023-12-31 00:00:00,S
CE,2001-04-02 00:00:00,2023-12-31 00:00:00,S
CEG,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CELG,2006-11-06 00:00:00,2019-11-05 00:00:00,S
CEN,2000-01-03 00:00:00,2001-03-30 00:00:00,S
CEPH,2008-11-17 00:00:00,2011-10-11 00:00:00,S
CERN,2010-04-30 00:00:00,2022-05-10 00:00:00,S
CF,2000-06-19 00:00:00,2023-12-31 00:00:00,S
CFC,2000-01-03 00:00:00,2008-06-30 00:00:00,S
CFG,2016-02-01 00:00:00,2023-12-31 00:00:00,S
CFN,2009-09-01 00:00:00,2015-03-13 00:00:00,S
CG,2000-01-03 00:00:00,2000-10-30 00:00:00,S
CGP,2000-01-03 00:00:00,2001-01-29 00:00:00,S
CHA,2000-01-03 00:00:00,2000-06-16 00:00:00,S
CHD,2015-12-29 00:00:00,2023-12-31 00:00:00,S
CHIR,2000-11-24 00:00:00,2006-04-19 00:00:00,S
CHK,2006-03-03 00:00:00,2018-03-16 00:00:00,S
CHRW,2007-03-02 00:00:00,2023-12-31 00:00:00,S
CHTR,2016-09-08 00:00:00,2023-12-31 00:00:00,S
CI,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CIEN,2001-08-30 00:00:00,2009-12-17 00:00:00,S
CIN,2000-01-03 00:00:00,2006-03-30 00:00:00,S
CINF,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CIT.A,2000-07-17 00:00:00,2001-05-31 00:00:00,S
CITGQ,2004-10-27 00:00:00,2009-07-17 00:00:00,S
CL,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CLF,2009-12-21 00:00:00,2014-04-01 00:00:00,S
CLX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CMA,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CMCSA,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CMCSK,2015-09-21 00:00:00,2015-12-09 00:00:00,S
CME,2006-08-11 00:00:00,2023-12-31 00:00:00,S
CMG,2011-04-28 00:00:00,2023-12-31 00:00:00,S
CMI,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CMS,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CMVT,2000-01-03 00:00:00,2007-01-24 00:00:00,S
CMX,2004-03-25 00:00:00,2007-03-22 00:00:00,S
CNC,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CNG,2000-01-03 00:00:00,2000-01-28 00:00:00,S
CNP,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CNX,2006-06-28 00:00:00,2016-03-03 00:00:00,S
CNXT,2000-01-31 00:00:00,2002-06-19 00:00:00,S
COC.B,2000-01-03 00:00:00,2002-08-29 00:00:00,S
COF,2000-01-03 00:00:00,2023-12-31 00:00:00,S
COG,2008-06-23 00:00:00,2021-09-20 00:00:00,S
COL,2001-07-02 00:00:00,2018-11-15 00:00:00,S
COMS,2000-01-03 00:00:00,2000-07-27 00:00:00,S
COO,2016-09-23 00:00:00,2023-12-31 00:00:00,S
COP,2000-01-03 00:00:00,2023-12-31 00:00:00,S
COR,2023-08-30 00:00:00,2023-12-31 00:00:00,S
COST,2000-01-03 00:00:00,2023-12-31 00:00:00,S
COTY,2016-10-03 00:00:00,2020-09-18 00:00:00,S
COV,2007-07-02 00:00:00,2015-01-15 00:00:00,S
CPB,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CPGX,2015-07-02 00:00:00,2016-06-27 00:00:00,S
CPNLQ,2000-12-01 00:00:00,2005-11-28 00:00:00,S
CPQ,2000-01-03 00:00:00,2002-05-01 00:00:00,S
CPRI,2016-01-04 00:00:00,2020-04-06 00:00:00,S
CPRT,2018-07-02 00:00:00,2023-12-31 00:00:00,S
CPT,2022-04-04 00:00:00,2023-12-31 00:00:00,S
CPWR,2000-01-03 00:00:00,2011-12-30 00:00:00,S
CR,2000-01-03 00:00:00,2004-12-16 00:00:00,S
CRL,2021-05-14 00:00:00,2023-12-31 00:00:00,S
CRM,2008-09-15 00:00:00,2023-12-31 00:00:00,S
CSCO,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CSGP,2022-09-19 00:00:00,2023-12-31 00:00:00,S
CSR,2000-01-03 00:00:00,2000-06-15 00:00:00,S
CSRA,2015-11-30 00:00:00,2018-04-02 00:00:00,S
CSX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CTAS,2001-03-01 00:00:00,2023-12-31 00:00:00,S
CTB,2000-01-03 00:00:00,2006-07-11 00:00:00,S
CTL,2000-01-03 00:00:00,2020-06-22 00:00:00,S
CTLT,2020-09-21 00:00:00,2023-12-31 00:00:00,S
CTRA,2021-10-04 00:00:00,2023-12-31 00:00:00,S
CTSH,2006-11-17 00:00:00,2023-12-31 00:00:00,S
CTVA,2019-06-03 00:00:00,2023-12-31 00:00:00,S
CTX,2000-01-03 00:00:00,2009-08-18 00:00:00,S
CTXS,2000-01-03 00:00:00,2022-09-19 00:00:00,S
CVC,2010-12-20 00:00:00,2016-06-20 00:00:00,S
CVG,2000-06-13 00:00:00,2009-12-17 00:00:00,S
CVH,2005-08-30 00:00:00,2013-05-02 00:00:00,S
CVS,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CVX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
CXO,2016-02-22 00:00:00,2021-01-07 00:00:00,S
CZR,2021-03-22 00:00:00,2023-12-31 00:00:00,S
D,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DAL,2013-09-11 00:00:00,2023-12-31 00:00:00,S
DALRQ,2000-01-03 00:00:00,2005-08-18 00:00:00,S
DCNAQ,2000-01-03 00:00:00,2006-03-02 00:00:00,S
DD,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DDR,2007-03-23 00:00:00,2009-03-27 00:00:00,S
DDS,2000-01-03 00:00:00,2008-10-16 00:00:00,S
DE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DELL,2000-01-03 00:00:00,2013-10-18 00:00:00,S
DF,2006-04-03 00:00:00,2013-05-17 00:00:00,S
DFS,2007-07-02 00:00:00,2023-12-31 00:00:00,S
DG,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DGX,2002-12-12 00:00:00,2023-12-31 00:00:00,S
DHI,2005-07-05 00:00:00,2023-12-31 00:00:00,S
DHR,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DIS,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DISCA,2010-03-01 00:00:00,2022-04-04 00:00:00,S
DISCK,2014-08-07 00:00:00,2022-04-04 00:00:00,S
DISH,2017-03-13 00:00:00,2023-06-10 00:00:00,S
DJ,2000-01-03 00:00:00,2007-12-12 00:00:00,S
DLR,2016-05-18 00:00:00,2023-12-31 00:00:00,S
DLTR,2011-12-19 00:00:00,2023-12-31 00:00:00,S
DLX,2000-01-03 00:00:00,2004-12-16 00:00:00,S
DNB,2008-12-02 00:00:00,2017-04-04 00:00:00,S
DNR,2009-04-02 00:00:00,2015-03-19 00:00:00,S
DO,2009-02-26 00:00:00,2016-09-28 00:00:00,S
DOV,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DOW,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DPHIQ,2000-01-03 00:00:00,2005-10-10 00:00:00,S
DPZ,2020-05-12 00:00:00,2023-12-31 00:00:00,S
DRE,2017-07-26 00:00:00,2022-09-19 00:00:00,S
DRI,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DTE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DTV,2006-12-04 00:00:00,2015-07-23 00:00:00,S
DUK,2000-01-03 00:00:00,2023-12-31 00:00:00,S
DVA,2008-07-31 00:00:00,2023-12-31 00:00:00,S
DVN,2000-08-30 00:00:00,2023-12-31 00:00:00,S
DWDP,2017-09-01 00:00:00,2019-06-01 00:00:00,S
DXC,2000-01-03 00:00:00,2023-09-18 00:00:00,S
DXCM,2020-05-12 00:00:00,2023-12-31 00:00:00,S
DYN,2000-10-03 00:00:00,2009-12-17 00:00:00,S
EA,2002-07-22 00:00:00,2023-12-31 00:00:00,S
EBAY,2002-07-22 00:00:00,2023-12-31 00:00:00,S
EC,2000-01-03 00:00:00,2006-06-05 00:00:00,S
ECL,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ED,2000-01-03 00:00:00,2023-12-31 00:00:00,S
EDS,2000-01-03 00:00:00,2008-08-25 00:00:00,S
EFU,2000-01-03 00:00:00,2000-10-30 00:00:00,S
EFX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
EG,2023-06-10 00:00:00,2023-12-31 00:00:00,S
EHC,2000-01-03 00:00:00,2003-03-20 00:00:00,S
EIX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
EKDKQ,2000-01-03 00:00:00,2010-12-17 00:00:00,S
EL,2006-01-05 00:00:00,2023-12-31 00:00:00,S
ELV,2022-06-28 00:00:00,2023-12-31 00:00:00,S
EMC,2000-01-03 00:00:00,2016-09-06 00:00:00,S
EMN,2000-01-03 00:00:00,2023-12-31 00:00:00,S
EMR,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ENDP,2015-01-27 00:00:00,2017-03-01 00:00:00,S
ENPH,2021-01-07 00:00:00,2023-12-31 00:00:00,S
ENRNQ,2000-01-03 00:00:00,2001-11-26 00:00:00,S
EOG,2000-11-02 00:00:00,2023-12-31 00:00:00,S
EOP,2001-10-10 00:00:00,2007-02-09 00:00:00,S
EP,2000-01-03 00:00:00,2012-05-23 00:00:00,S
EPAM,2021-12-14 00:00:00,2023-12-31 00:00:00,S
EQ,2006-05-18 00:00:00,2009-06-30 00:00:00,S
EQIX,2015-03-23 00:00:00,2023-12-31 00:00:00,S
EQR,2001-12-03 00:00:00,2023-12-31 00:00:00,S
EQT,2008-12-19 00:00:00,2023-12-31 00:00:00,S
ES,2009-03-17 00:00:00,2023-12-31 00:00:00,S
ESRX,2003-09-26 00:00:00,2018-12-19 00:00:00,S
ESS,2014-04-02 00:00:00,2023-12-31 00:00:00,S
ESV,2007-01-04 00:00:00,2016-03-29 00:00:00,S
ETFC,2004-04-01 00:00:00,2020-09-21 00:00:00,S
ETN,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ETR,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ETS,2000-01-03 00:00:00,2001-08-03 00:00:00,S
ETSY,2020-09-21 00:00:00,2023-12-31 00:00:00,S
EVHC,2016-12-02 00:00:00,2018-10-10 00:00:00,S
EVRG,2018-06-05 00:00:00,2023-12-31 00:00:00,S
